"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 17 08:55:57 GMT 2025","Thu Jul 17 08:56:02 GMT 2025","4565","Surefire suite","Surefire test","tests.UpdatePlaylistTest","tests.UpdatePlaylistTest","modifyPlaylists","modifyPlaylists","validates whether the playlist can be modified by providing the Id"
"passed","Thu Jul 17 08:55:57 GMT 2025","Thu Jul 17 08:56:01 GMT 2025","4146","Surefire suite","Surefire test","tests.GetPlaylistTest","tests.GetPlaylistTest","fetchPlaylists","fetchPlaylists","validates whether the playlist is fetched by providing the Id"
"passed","Thu Jul 17 08:55:57 GMT 2025","Thu Jul 17 08:56:02 GMT 2025","4718","Surefire suite","Surefire test","tests.CreatePlaylistTest","tests.CreatePlaylistTest","createPlaylists","createPlaylists","validates whether the playlist is created when valid data is provided"
